year,quarter,revenue_curr,revenue_prev,yoy_growth_amount,yoy_growth_rate
2021,2,33965.96000000002,,,
2021,3,106038.77000000006,,,
2021,4,101146.39000000012,,,
2022,1,102537.78999999973,,,
2022,2,102168.13000000005,33965.96000000002,68202.17000000003,2.0079564952676145
2022,3,106099.28000000006,106038.77000000006,60.50999999999476,0.000570640342206862
2022,4,103950.1900000003,101146.39000000012,2803.8000000001775,0.02772021819068554
2023,1,100538.87000000002,102537.78999999973,-1998.9199999997072,-0.019494471257862224
2023,2,102741.2499999999,102168.13000000005,573.1199999998498,0.005609577076529144
2023,3,100054.0899999998,106099.28000000006,-6045.190000000264,-0.05697672971956323
2023,4,98280.13999999984,103950.1900000003,-5670.050000000454,-0.0545458358469613
2024,1,95357.08999999991,100538.87000000002,-5181.780000000115,-0.05154006604609853
2024,2,97722.96000000027,102741.2499999999,-5018.28999999963,-0.048843964814518366
2024,3,103465.82999999981,100054.0899999998,3411.74000000002,0.034098955874767606
2024,4,102192.92999999989,98280.13999999984,3912.790000000052,0.03981262134954283
